"","PN38066GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 14 a 24 años"
May01,14.4824860384627
Jun01,15.2337926484879
Jul01,14.4520147167727
Ago01,15.1917724512911
Sep01,15.3192124168976
Oct01,15.2740545811887
Nov01,14.6779756179313
Dic01,13.8563020833128
Ene02,14.6276838399398
Feb02,15.8552485580758
Mar02,17.1076879529865
Abr02,17.0873977989014
May02,15.4110331949289
Jun02,14.369444083145
Jul02,13.0900192362957
Ago02,13.7318151498614
Sep02,13.8340978456959
Oct02,14.4923817361418
Nov02,14.6196875646249
Dic02,15.1938344542287
Ene03,15.6574970583681
Feb03,15.7724995315236
Mar03,16.1737228862311
Abr03,15.7785283830872
May03,14.518964963237
Jun03,13.6738463209709
Jul03,13.1604915720102
Ago03,14.0576357852309
Sep03,13.3733673729596
Oct03,14.325007683805
Nov03,14.9338655489075
Dic03,15.749521501805
Ene04,16.037484511337
Feb04,16.3630446489389
Mar04,16.7988448947462
Abr04,17.2190786927023
May04,16.1424396142069
Jun04,14.694156016262
Jul04,13.6900864122881
Ago04,14.1788645468934
Sep04,15.1755140859044
Oct04,15.9660064190136
Nov04,16.0612448823639
Dic04,16.4910264336204
Ene05,18.7571224332916
Feb05,18.7480065161632
Mar05,19.0392332266282
Abr05,16.8605498000219
May05,17.0769890345535
Jun05,16.526924338484
Jul05,15.9565915626114
Ago05,15.7127012406778
Sep05,15.6903318289148
Oct05,15.2251873596756
Nov05,14.4486077688986
Dic05,13.2211644566417
Ene06,15.1983581647622
Feb06,16.005735807186
Mar06,15.6910360165021
Abr06,14.1865319598665
May06,14.1100882668426
Jun06,15.4128218730333
Jul06,15.4623134384616
Ago06,14.0588992148957
Sep06,14.2530834789531
Oct06,13.3400045298767
Nov06,14.1890403356425
Dic06,14.0666185667541
Ene07,16.5718720955167
Feb07,16.1273152283711
Mar07,16.5004043020454
Abr07,14.7859063582617
May07,14.7001733252354
Jun07,13.6077263746482
Jul07,12.778011334662
Ago07,12.918537379097
Sep07,14.2025116052422
Oct07,14.308666437863
Nov07,13.6953507409052
Dic07,12.9739988960476
Ene08,14.4827616009698
Feb08,16.6084676354378
Mar08,17.1882008405084
Abr08,16.1313313920257
May08,13.8506877010421
Jun08,13.7592162573803
Jul08,14.7628625012782
Ago08,16.4705970833016
Sep08,16.6529361122989
Oct08,15.7015892556825
Nov08,14.9238841879776
Dic08,15.6949814693971
Ene09,17.6724003653651
Feb09,18.9978560781584
Mar09,18.2126129971046
Abr09,17.5740778091679
May09,16.6284957844643
Jun09,17.3489647348019
Jul09,15.9391154508903
Ago09,16.1677788369876
Sep09,14.8763487061969
Oct09,14.6713392688009
Nov09,14.9686593694452
Dic09,16.2946625496251
Ene10,17.6712904581757
Feb10,18.0933699489996
Mar10,17.321654040404
Abr10,16.1822338340954
May10,14.2374642764354
Jun10,14.1768432650813
Jul10,13.7969196716776
Ago10,14.8052665500414
Sep10,15.8432862830257
Oct10,16.7745367497119
Nov10,16.0191167359943
Dic10,15.304165940387
Ene11,17.4594922450394
Feb11,20.3690036900369
Mar11,20.2953518398967
Abr11,17.7809035247394
May11,14.3687268885367
Jun11,14.3906420021763
Jul11,13.6550859598854
Ago11,13.6108387556823
Sep11,14.1806722689076
Oct11,14.9640543179196
Nov11,14.7601145721446
Dic11,15.4960110995491
Ene12,15.7334921715453
Feb12,17.006635536987
Mar12,16.6276346604215
Abr12,15.680013807387
May12,13.9024174267245
Jun12,12.2326930047119
Jul12,12.3779361309053
Ago12,13.0786516853933
Sep12,13.0106571936057
Oct12,12.5840882590367
Nov12,12.6711126711127
Dic12,11.9878735383283
Ene13,13.5511607910576
Feb13,13.864528522509
Mar13,14.0080093442349
Abr13,11.919002050581
May13,11.8514616802739
Jun13,12.3181201988251
Jul13,13.1959861468786
Ago13,12.1955685771837
Sep13,13.2555383353086
Oct13,12.8994403321899
Nov13,13.636774135284
Dic13,14.0492926416941
Ene14,15.0884680359207
Feb14,15.6604248887396
Mar14,14.5194783619902
Abr14,13.5852646143203
May14,12.7633899563724
Jun14,12.5330313325783
Jul14,13.7063069908815
Ago14,13.8654292343387
Sep14,14.1826466679324
Oct14,13.5160415302591
Nov14,13.5242128521451
Dic14,14.0706319702602
Ene15,15.2898097704742
Feb15,16.2256267409471
Mar15,15.3668152211176
Abr15,14.9371759950795
May15,15.5740706830251
Jun15,16.1418413519254
Jul15,15.0761607634428
Ago15,14.0512631384842
Sep15,14.4951590594744
Oct15,13.1990846681922
Nov15,13.041920458617
Dic15,13.3608211246601
Ene16,15.6758638697885
Feb16,16.2249405368671
Mar16,15.6644770085902
Abr16,15.1003880546651
May16,15.5292899663532
Jun16,16.0327522451136
Jul16,17.2638146167558
Ago16,16.3109756097561
Sep16,15.4555940023068
Oct16,14.5579813886901
Nov16,14.294687724336
Dic16,15.9632224168126
Ene17,17.7736828880141
Feb17,18.4773594294245
Mar17,18.5841444139423
Abr17,16.1616161616162
May17,16.0647571606476
Jun17,15.7016769638129
Jul17,15.9929546455306
Ago17,15.2140542384445
Sep17,14.5889990350031
Oct17,14.2534549724505
Nov17,14.9056254626203
Dic17,15.0204336567147
Ene18,18.5074888324428
Feb18,19.5723545753009
Mar18,19.3860099196169
Abr18,15.6410256410256
May18,13.8705170004658
Jun18,12.9691849860804
Jul18,13.5007552870091
Ago18,14.2093415869443
Sep18,14.5416627168452
Oct18,16.3300970873786
Nov18,14.7890013366431
Dic18,15.0721336370539
Ene19,14.7770819702776
Feb19,17.918057100482
Mar19,18.9718594813316
Abr19,18.3618274896165
May19,17.2182699247345
Jun19,15.2372934862675
Jul19,13.1390756750987
Ago19,12.8889823380992
Sep19,14.2137308419064
Oct19,16.8634416466409
Nov19,16.3381742738589
Dic19,15.8039816232772
Ene20,15.9659036490758
Feb20,17.6309837919337
Mar20,17.7542453730204
Abr20,18.8194351492437
May20,24.3559718969555
Jun20,33.3845759672047
Jul20,32.5910215623895
Ago20,31.7476580796253
Sep20,32.6
Oct20,31.4821956549685
Nov20,32.6
Dic20,25.5454919720049
Ene21,24.5185485505777
Feb21,27.8072033898305
Mar21,29.0082191780822
Abr21,29.254323163344
May21,24.9623088520353
Jun21,21.568835580087
Jul21,19.3374259102456
Ago21,18.5431173004821
Sep21,19.9209746460323
Oct21,19.0281612368857
Nov21,17.2446808510638
Dic21,14.7022713321056
Ene22,15.4666932588751
Feb22,16.3962170233947
Mar22,16.8786692759295
Abr22,15.6325543916197
May22,14.3236345074017
Jun22,14.031914893617
Jul22,14.2826529518911
Ago22,14.037403740374
Sep22,14.9862825788752
Oct22,14.8850438492534
Nov22,15.8998808104887
Dic22,16.385656613631
Ene23,17.7407875682185
Feb23,16.2061822095588
Mar23,15.6557034936237
Abr23,14.3233800563521
May23,14.5319163937011
Jun23,13.847404960241
Jul23,13.2
Ago23,13.2122857932975
Sep23,13.3446027403459
Oct23,13.5182408795602
Nov23,12.9887751326015
Dic23,13.9817248716986
Ene24,15.8970227325412
Feb24,16.0950909928498
Mar24,15.4872015487202
Abr24,14.412122552815
