"","PN38068GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 45 a más años"
May01,7.22190906473003
Jun01,7.3818194679662
Jul01,6.96090074662232
Ago01,7.11947637245736
Sep01,7.43591559593191
Oct01,7.9673029358866
Nov01,7.62779111170914
Dic01,6.69209939776792
Ene02,7.25399385242635
Feb02,7.33633258505413
Mar02,8.03392737369701
Abr02,8.50616100966536
May02,9.29825450647109
Jun02,9.32955582999337
Jul02,8.11219559653853
Ago02,7.76675729517148
Sep02,7.81318809636897
Oct02,7.5162570224915
Nov02,6.86554589261314
Dic02,6.68866890016148
Ene03,7.5266644722695
Feb03,6.84396447204579
Mar03,7.01343476709564
Abr03,6.87007411856484
May03,7.61048738534179
Jun03,7.74844250148062
Jul03,7.09639987862487
Ago03,8.08308844652447
Sep03,7.55042332488942
Oct03,7.60689480108832
Nov03,6.81893068884131
Dic03,7.66971687338611
Ene04,8.85281833803011
Feb04,9.22870319753529
Mar04,8.75392837899078
Abr04,8.13993634895695
May04,7.4408856866216
Jun04,7.74774137613002
Jul04,6.46452974872972
Ago04,6.33886932494788
Sep04,5.75626016746415
Oct04,6.38774993272387
Nov04,6.55903496622343
Dic04,6.30429941865394
Ene05,6.48155899220518
Feb05,6.67195986373507
Mar05,7.14345876958646
Abr05,7.07515409464036
May05,7.30173129679209
Jun05,7.50404307130076
Jul05,7.73391515245535
Ago05,7.73484055353137
Sep05,7.7043804740173
Oct05,7.09636527188885
Nov05,6.92150983672877
Dic05,6.1029888089022
Ene06,6.29846694816916
Feb06,5.83030564930869
Mar06,6.07078171507312
Abr06,6.20226267431527
May06,6.21237883380671
Jun06,6.22778355230498
Jul06,5.89793419021131
Ago06,5.98984446223032
Sep06,5.82770166470995
Oct06,5.63030738296489
Nov06,5.67605163701652
Dic06,4.49358532541571
Ene07,4.74071685368944
Feb07,5.52847127873153
Mar07,6.29607764694755
Abr07,6.34903099814595
May07,5.94001414573354
Jun07,5.96108701305822
Jul07,6.55364433343325
Ago07,6.52485444284863
Sep07,6.25464143106906
Oct07,5.53016569852818
Nov07,6.41579049112981
Dic07,6.30070329969234
Ene08,6.67817111670094
Feb08,6.46874146791912
Mar08,6.71571315974995
Abr08,6.53995844054701
May08,5.87769107143196
Jun08,5.53957838612188
Jul08,5.75827300836336
Ago08,5.74768411617202
Sep08,5.82262172098115
Oct08,4.77681361916154
Nov08,4.23011451230004
Dic08,4.03219977387463
Ene09,4.39324255348812
Feb09,5.3184126987607
Mar09,5.08922956847007
Abr09,5.05209911425406
May09,4.48290172991879
Jun09,4.41120426829268
Jul09,5.01472124608225
Ago09,5.71538907124928
Sep09,5.87095524123232
Oct09,5.54244169577944
Nov09,4.32258064516129
Dic09,4.5734468393407
Ene10,4.62448793809741
Feb10,5.52782064082781
Mar10,5.03525583077201
Abr10,4.71938775510204
May10,4.05405405405405
Jun10,3.94856004347039
Jul10,3.99421651906741
Ago10,3.73305159359042
Sep10,3.79523389232127
Oct10,3.31939129660941
Nov10,3.06720793865584
Dic10,3.07692307692308
Ene11,3.27989681223512
Feb11,6.50994575045208
Mar11,5.9626885655628
Abr11,6.03246245985592
May11,3.29397141081417
Jun11,4.00749732238486
Jul11,4.39843611160476
Ago11,4.29502634163765
Sep11,4.34705621956618
Oct11,3.62050739957717
Nov11,4.01437461653081
Dic11,3.52112676056338
Ene12,4.04883189882312
Feb12,3.86239662150273
Mar12,4.768962510898
Abr12,4.25754667597278
May12,4.03296510608452
Jun12,3.72970601140851
Jul12,3.57518401682439
Ago12,3.71274185114171
Sep12,3.35107775547604
Oct12,3.30746163344505
Nov12,3.18493447886835
Dic12,2.75922671353251
Ene13,2.90379523389232
Feb13,2.95105142251281
Mar13,3.05410122164049
Abr13,2.82978541506369
May13,2.4299550328606
Jun13,2.44111349036403
Jul13,2.23111640977604
Ago13,2.68753189317911
Sep13,2.75557067528491
Oct13,3.103272850602
Nov13,2.85619118994088
Dic13,2.35728952772074
Ene14,3.01691807650638
Feb14,3.13738441215324
Mar14,3.72357992073976
Abr14,2.96606688028921
May14,2.72248725119263
Jun14,2.72097625329815
Jul14,2.45631388064623
Ago14,2.67503302509908
Sep14,2.24663005491762
Oct14,2.38290206354406
Nov14,2.04563977180114
Dic14,2.2420072845002
Ene15,2.10465019549122
Feb15,2.1657013346764
Mar15,2.24391057724391
Abr15,2.63552960800667
May15,2.68400433441694
Jun15,2.62116716122651
Jul15,2.74528914879792
Ago15,2.74800547989363
Sep15,2.62835686882703
Oct15,2.19125110770966
Nov15,1.91487649851155
Dic15,1.88269370021723
Ene16,2.20300261096606
Feb16,2.64798769131104
Mar16,2.87583811293319
Abr16,2.67319579352974
May16,2.43038789634637
Jun16,2.85369774919614
Jul16,2.60300223570744
Ago16,2.7068150876912
Sep16,2.19539857420609
Oct16,2.49880630272163
Nov16,2.45850297525838
Dic16,2.49328730341389
Ene17,3.05266428460463
Feb17,3.53162768796107
Mar17,3.43799058084772
Abr17,2.92766487580783
May17,2.77476360254224
Jun17,3.16833217135332
Jul17,3.21890052756327
Ago17,2.917951417613
Sep17,2.91872474180512
Oct17,2.92672028596962
Nov17,2.94698354661792
Dic17,3.01100872038745
Ene18,3.25150264320371
Feb18,3.70694687682428
Mar18,3.41099992695932
Abr18,3.12589413447783
May18,2.87237824386776
Jun18,2.97535704284514
Jul18,2.9284919309961
Ago18,2.79031026584299
Sep18,3.02946273830156
Oct18,3.33174028811361
Nov18,3.63067084138299
Dic18,3.22878837900297
Ene19,3.23883913541176
Feb19,3.88073828679602
Mar19,4.07086827157154
Abr19,3.6008162727931
May19,2.81671602500823
Jun19,2.76461808034266
Jul19,2.88285937907644
Ago19,2.77436461230033
Sep19,2.55810933644981
Oct19,2.48791040977348
Nov19,2.58805706350208
Dic19,2.72908118861121
Ene20,2.92167167167167
Feb20,3.3513312232359
Mar20,3.6344031460104
Abr20,4.2716049382716
May20,6.53179190751445
Jun20,7.5779313942872
Jul20,9.35324387044698
Ago20,9.11647915287889
Sep20,11.3
Oct20,10.7326526049042
Nov20,11.3
Dic20,9.25697865353037
Ene21,8.75725273242477
Feb21,8.82231119701781
Mar21,9.2156862745098
Abr21,8.56409188701507
May21,7.17450801511794
Jun21,6.64685049329624
Jul21,6.6268433824902
Ago21,6.77712719571448
Sep21,6.91870067902368
Oct21,6.7143114527656
Nov21,6.36390620362126
Dic21,5.5834564254062
Ene22,5.67971869598904
Feb22,5.34878277153557
Mar22,5.5844230000571
Abr22,5.42482584608633
May22,5.1432327326505
Jun22,5.35096866253224
Jul22,5.13915068189378
Ago22,6.02202911385399
Sep22,6.26618903279141
Oct22,5.93544857768052
Nov22,6.66239247742694
Dic22,5.61394243464483
Ene23,6.40221266390554
Feb23,5.30661511133407
Mar23,5.61971714192904
Abr23,5.35377608413501
May23,4.9327390749494
Jun23,4.78276112283953
Jul23,4.7
Ago23,5.16448989277663
Sep23,5.26758206912685
Oct23,4.81377030049596
Nov23,5.7111555682576
Dic23,5.40820165537999
Ene24,5.71695145006833
Feb24,5.47119450209586
Mar24,6.23733923776322
Abr24,6.71078385683662
